STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,4/22/2020,,,66,"H,,S"
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,4/23/2020,,,66,"H,,S"
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,4/24/2020,,,65,"H,,S"
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,4/25/2020,,,69,"H,,S"
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,4/26/2020,0.59,",,S",62,"H,,S"
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,4/27/2020,0.39,",,S",63,"H,,S"
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,4/28/2020,0.01,",,S",65,"H,,S"
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,4/29/2020,0.31,",,S",64,"H,,S"
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,4/30/2020,0.01,",,S",67,"H,,S"
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,5/1/2020,0,",,S",67,"H,,S"
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,5/2/2020,,,66,"H,,S"
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,5/3/2020,,,71,"H,,S"
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,5/4/2020,,,66,"H,,S"
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,5/5/2020,,,62,"H,,S"
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,5/6/2020,,,66,"H,,S"
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,5/7/2020,0.01,",,S",62,"H,,S"
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,5/8/2020,0.03,",,S",63,"H,,S"
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,5/9/2020,0,",,S",61,"H,,S"
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,5/10/2020,,,60,"H,,S"
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,5/11/2020,,,64,"H,,S"
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,5/12/2020,,,68,"H,,S"
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,5/13/2020,,,69,"H,,S"
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,5/14/2020,,,62,"H,,S"
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,5/15/2020,,,62,"H,,S"
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,5/16/2020,,,66,"H,,S"
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,5/17/2020,0.04,",,S",62,"H,,S"
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,5/18/2020,0.01,",,S",66,"H,,S"
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,5/19/2020,0,",,S",64,"H,,S"
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,5/20/2020,,,61,"H,,S"
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,5/21/2020,0.01,",,S",61,"H,,S"
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,5/22/2020,0.02,",,S",61,"H,,S"
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,5/23/2020,0,",,S",63,"H,,S"
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,5/24/2020,,,63,"H,,S"
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,5/25/2020,,,65,"H,,S"
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,5/26/2020,,,70,"H,,S"
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,5/27/2020,,,62,"H,,S"
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,5/28/2020,,,57,"H,,S"
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,5/29/2020,,,65,"H,,S"
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,5/30/2020,,,64,"H,,S"
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,5/31/2020,,,62,"H,,S"
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,6/1/2020,,,65,"H,,S"
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,6/2/2020,,,61,"H,,S"
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,6/3/2020,,,63,"H,,S"
