STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,TAVG
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,5/9/2020,0,61
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,5/10/2020,,60
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,5/11/2020,,64
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,5/12/2020,,68
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,5/13/2020,,69
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,5/14/2020,,62
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,5/15/2020,,62
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,5/16/2020,,66
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,5/17/2020,0.04,62
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,5/18/2020,0.01,66
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,5/19/2020,0,64
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,5/20/2020,,61
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,5/21/2020,0.01,61
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,5/22/2020,0.02,61
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,5/23/2020,0,63
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,5/24/2020,,63
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,5/25/2020,,65
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,5/26/2020,,70
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,5/27/2020,,62
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,5/28/2020,,57
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,5/29/2020,,65
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,5/30/2020,,64
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,5/31/2020,,62
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,6/1/2020,,65
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,6/2/2020,,61
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,6/3/2020,,63
